"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"Jun 2017","17","39.49 mi","2.32 mi","5.25 mi","16:08:46 h:m:s","56:59 h:m:s","3:35:24 h:m:s","5,758 C","9,600 ft","640 ft","2,507 ft","2.4 mph","24:32 min/mi","129 bpm","114 spm","--"
"May 2017","14","27.79 mi","1.98 mi","5.00 mi","4:59:58 h:m:s","21:26 h:m:s","49:18 h:m:s","2,910 C","427 ft","43 ft","118 ft","5.6 mph","10:48 min/mi","155 bpm","173 spm","--"
"Apr 2017","16","32.10 mi","2.01 mi","3.12 mi","5:52:24 h:m:s","22:02 h:m:s","36:29 h:m:s","3,352 C","564 ft","40 ft","99 ft","5.5 mph","10:59 min/mi","145 bpm","160 spm","--"
"Mar 2017","12","30.19 mi","2.52 mi","6.01 mi","3:43:16 h:m:s","18:36 h:m:s","49:09 h:m:s","2,625 C","337 ft","37 ft","86 ft","8.1 mph","7:24 min/mi","156 bpm","178 spm","--"
"Feb 2017","11","33.48 mi","3.04 mi","5.02 mi","4:30:52 h:m:s","24:37 h:m:s","41:53 h:m:s","3,036 C","320 ft","36 ft","64 ft","7.4 mph","8:05 min/mi","155 bpm","177 spm","--"
"Jan 2017","13","42.12 mi","3.24 mi","10.01 mi","6:10:47 h:m:s","28:31 h:m:s","1:30:41 h:m:s","3,808 C","450 ft","41 ft","116 ft","6.8 mph","8:48 min/mi","157 bpm","175 spm","--"
"Dec 2016","8","22.02 mi","2.75 mi","5.01 mi","3:31:27 h:m:s","26:26 h:m:s","45:46 h:m:s","2,209 C","360 ft","45 ft","174 ft","6.2 mph","9:36 min/mi","157 bpm","169 spm","--"
"Nov 2016","13","29.20 mi","2.25 mi","4.01 mi","4:32:35 h:m:s","20:58 h:m:s","40:38 h:m:s","2,960 C","1,671 ft","167 ft","610 ft","6.4 mph","9:20 min/mi","156 bpm","172 spm","--"
"Oct 2016","7","28.06 mi","4.01 mi","10.00 mi","4:37:34 h:m:s","39:39 h:m:s","1:42:12 h:m:s","2,942 C","2,523 ft","360 ft","840 ft","6.1 mph","9:54 min/mi","154 bpm","171 spm","--"
"Sep 2016","11","25.26 mi","2.30 mi","3.01 mi","3:47:27 h:m:s","20:41 h:m:s","28:55 h:m:s","2,541 C","275 ft","27 ft","96 ft","6.7 mph","9:00 min/mi","158 bpm","174 spm","87 rpm"
"Aug 2016","14","36.43 mi","2.60 mi","5.00 mi","5:34:52 h:m:s","23:55 h:m:s","45:24 h:m:s","3,562 C","736 ft","61 ft","129 ft","6.5 mph","9:11 min/mi","156 bpm","173 spm","86 rpm"
"Jul 2016","13","35.51 mi","2.73 mi","6.00 mi","5:22:57 h:m:s","24:51 h:m:s","55:45 h:m:s","4,051 C","908 ft","76 ft","166 ft","6.6 mph","9:06 min/mi","--","169 spm","--"
"Jun 2016","8","22.24 mi","2.78 mi","4.28 mi","3:37:24 h:m:s","27:10 h:m:s","49:45 h:m:s","2,496 C","1,724 ft","215 ft","992 ft","6.1 mph","9:46 min/mi","--","166 spm","--"
"May 2016","7","19.43 mi","2.78 mi","4.37 mi","2:36:52 h:m:s","22:25 h:m:s","33:58 h:m:s","2,129 C","388 ft","55 ft","103 ft","7.4 mph","8:04 min/mi","--","172 spm","--"
"Apr 2016","11","36.16 mi","3.29 mi","7.00 mi","5:10:59 h:m:s","28:16 h:m:s","1:02:49 h:m:s","4,022 C","463 ft","46 ft","113 ft","7.0 mph","8:36 min/mi","--","172 spm","--"
